LanguageSkid,ChorusSkid,SentenceSequenceNbr,SentenceSkid
1,616,1,13433
1,616,2,13434
1,616,3,13435
1,616,4,13436
1,617,1,13473
1,617,2,13474
1,618,1,13473
1,618,2,13474
1,619,1,13473
1,619,2,13474
1,620,1,13495
1,620,2,13496
1,621,1,13495
1,621,2,13496
1,622,1,13495
1,622,2,13496
1,623,1,13495
1,623,2,13496
1,624,1,13495
1,624,2,13496
1,625,1,13495
1,625,2,13496
1,626,1,13525
1,626,2,13526
1,627,1,13525
1,627,2,13526
1,628,1,13525
1,628,2,13526
1,629,1,13525
1,629,2,13526
1,630,1,13525
1,630,2,13526
1,634,1,13632
1,634,2,13633
1,635,1,13632
1,635,2,13633
1,636,1,13632
1,636,2,13633
1,637,1,13658
1,637,2,13659
1,637,3,13656
1,638,1,13658
1,638,2,13659
1,638,3,13656
1,639,1,13658
1,639,2,13659
1,639,3,13656
1,640,1,13658
1,640,2,13659
1,640,3,13656
1,641,1,13658
1,641,2,13659
1,641,3,13656
1,642,1,13712
1,642,2,13713
1,643,1,13712
1,643,2,13713
1,644,1,13712
1,644,2,13713
1,645,1,13740
1,646,1,13740
1,647,1,13740
1,648,1,13740
1,649,1,13740
1,650,1,13781
1,650,2,13782
1,650,3,13783
1,651,1,13781
1,651,2,13782
1,651,3,13783
1,652,1,13781
1,652,2,13782
1,652,3,13783
1,653,1,13781
1,653,2,13782
1,653,3,13783
1,654,1,13884
1,654,2,13885
1,654,3,13886
1,654,4,13887
1,655,1,13884
1,655,2,13885
1,655,3,13886
1,655,4,13887
1,656,1,13884
1,656,2,13885
1,656,3,13886
1,656,4,13887
1,657,1,13884
1,657,2,13885
1,657,3,13886
1,657,4,13887
1,658,1,13884
1,658,2,13885
1,658,3,13886
1,658,4,13887
1,659,1,14058
1,659,2,14059
1,659,3,14060
1,660,1,14058
1,660,2,14059
1,660,3,14060
1,661,1,14058
